\"VaCcInEs CaUsE AuTiSm!\"

\"The gobernment wants to take my /*insert stupid stuff/* !\"

\"Them GMOs are in our weed!\"

Remember when it was just people sharing memes like this? https://t.co/yn87jif3mk" "Twitter for Android" "248" "1102307130927833088" "206813681" "britishwookie" "FALSE" "FALSE" "0" "0" NA NA NA NA NA "http://pbs.twimg.com/media/D0wwNNgUcAAZgJR.jpg" "https://t.co/yn87jif3mk" "https://twitter.com/britishwookie/status/1102309017777393664/photo/1" "photo" "http://pbs.twimg.com/media/D0wwNNgUcAAZgJR.jpg" "https://t.co/yn87jif3mk" "https://twitter.com/britishwookie/status/1102309017777393664/photo/1" NA NA NA "en" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" "https://api.twitter.com/1.1/geo/id/2ef2e027146be550.json" "Spanish Springs" "Spanish Springs, NV" "city" "United States" "US" "c(NA, NA)" "c(NA, NA)" "c(-119.735925, -119.675337, -119.675337, -119.735925, 39.621614, 39.621614, 39.6768, 39.6768)" "https://twitter.com/britishwookie/status/1102309017777393664" "Peter McDaniel" "Oklahoma, USA" "I'm an English dad of two, automation technician NASA wannabe, all-around confused guy." NA "FALSE" "129" "410" "5" "6381" "2670" "1287863692" "FALSE" NA NA "en" "https://pbs.twimg.com/profile_banners/206813681/1528959439" "http://abs.twimg.com/images/themes/theme9/bg.gif" "http://pbs.twimg.com/profile_images/797472035152740353/Wk5NPGJI_normal.jpg" "39.649207" "-119.705631"
"3248139409" "1101511636009902080" "1551455813" "_steve3_" "@davegershgorn Who won?

Blur for me

Deadly A Flu Strain" "Twitter for iPhone" "42" "1101511183738290176" "2743000744" "davegershgorn" "FALSE" "FALSE" "0" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA "2743000744" "davegershgorn" "en" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" "https://api.twitter.com/1.1/geo/id/2571b7720cd62ad3.json" "Highlands Ranch" "Highlands Ranch, CO" "city" "United States" "US" "c(NA, NA)" "c(NA, NA)" "c(-105.053666, -104.899868, -104.899868, -105.053666, 39.5033, 39.5033, 39.566287, 39.566287)" "https://twitter.com/_steve3_/status/1101511636009902080" "Steve (sup)" "Highlands Ranch, CO" "Loyal Apple User (mostly) since 1986 at Carnegie Mellon - Hello Again - Alumni - Expedia, Federated, CEI - Clients - Stanford, NAS, Bunge, Xerox PARC + https://t.co/sSemATx5cQ" "https://t.co/rSgEjk68FK" "FALSE" "1559" "5001" "979" "151405" "67942" "1434565986" "FALSE" "https://t.co/rSgEjk68FK" "http://steve.co" "en" "https://pbs.twimg.com/profile_banners/3248139409/1551605439" "http://abs.twimg.com/images/themes/theme1/bg.png" "http://pbs.twimg.com/profile_images/1100155488862457861/0I2INS7W_normal.jpg" "39.5347935" "-104.976767"
"3248139409" "1101760161436188677" "1551515066" "_steve3_" "@HRHS_Wbb @FalconsHrhs Still flu here 

Recovering 

Almost died" "Twitter for iPhone" "41" "1100430628489576449" "806406145443299329" "HRHS_Wbb" "FALSE" "FALSE" "0" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA "c(\"806406145443299329\", \"1003773812700090368\")" "c(\"HRHS_Wbb\", \"FalconsHrhs\")" "en" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" NA NA "NA" NA "NA" "NA" NA NA NA "NA" "NA" "NA" NA NA "NA" "https://api.twitter.com/1.1/geo/id/2571b7720cd62ad3.json" "Highlands Ranch" "Highlands Ranch, CO" "city" "United States" "US" "c(NA, NA)" "c(NA, NA)" "c(-105.053666, -104.899868, -104.899868, -105.053666, 39.5033, 39.5033, 39.566287, 39.566287)" "https://twitter.com/_steve3_/status/1101760161436188677" "Steve (sup)" "Highlands Ranch, CO" "Loyal Apple User (mostly) since 1986 at Carnegie Mellon - Hello Again - Alumni - Expedia, Federated, CEI - Clients - Stanford, NAS, Bunge, Xerox PARC + https://t.co/sSemATx5cQ" "https://t.co/rSgEjk68FK" "FALSE" "1559" "5001" "979" "151405" "67942" "1434565986" "FALSE" "https://t.co/rSgEjk68FK" "http://steve.co" "en" "https://pbs.twimg.com/profile_banners/3248139409/1551605439" "http://abs.twimg.com/images/themes/theme1/bg.png" "http://pbs.twimg.com/profile_images/1100155488862457861/0I2INS7W_normal.jpg" "39.5347935" "-104.976767"
